epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1829.47,0.39722,0.65908,0.92133,0.66926,0.98148,0.83123,0.81862,0.22289,0.53679,0.80304,0.000424187,0.000424187,0.000424187
43,1873.27,0.39943,0.65244,0.91788,0.72044,0.91481,0.85158,0.85014,0.19267,0.53773,0.79599,0.000417119,0.000417119,0.000417119
44,1915.78,0.37273,0.62133,0.91601,0.68436,0.9773,0.8521,0.84668,0.20598,0.55723,0.79913,0.00041005,0.00041005,0.00041005
45,1974.17,0.34986,0.58736,0.89313,0.73719,0.93353,0.84852,0.83558,0.18221,0.52253,0.79362,0.000402982,0.000402982,0.000402982
46,2033.31,0.36336,0.62416,0.89288,0.73525,0.90909,0.84028,0.82997,0.18611,0.53853,0.79339,0.000395913,0.000395913,0.000395913
47,2092.33,0.38324,0.59086,0.91514,0.71171,0.89323,0.85554,0.84656,0.19429,0.60746,0.79458,0.000388844,0.000388844,0.000388844
48,2156.06,0.366,0.53718,0.90796,0.69524,0.98148,0.85424,0.85046,0.17497,0.50476,0.79296,0.000381776,0.000381776,0.000381776
49,2208.62,0.34557,0.59294,0.88178,0.71218,0.98148,0.8367,0.83099,0.18967,0.51214,0.79655,0.000374707,0.000374707,0.000374707
50,2275.39,0.36384,0.56529,0.90407,0.73095,0.91481,0.84092,0.83118,0.21425,0.53142,0.80126,0.000367639,0.000367639,0.000367639
51,2333.25,0.36635,0.58775,0.89801,0.73835,0.91692,0.8356,0.83244,0.20097,0.5423,0.79635,0.00036057,0.00036057,0.00036057
52,2396.28,0.33986,0.5915,0.89381,0.73123,0.92366,0.8399,0.83254,0.18882,0.53349,0.79306,0.000353501,0.000353501,0.000353501
53,2469.28,0.37024,0.58831,0.90621,0.72153,0.91481,0.8172,0.81169,0.18148,0.5354,0.79325,0.000346433,0.000346433,0.000346433
54,2541.7,0.34697,0.60971,0.89563,0.69719,0.98148,0.83394,0.81287,0.21367,0.5522,0.80061,0.000339364,0.000339364,0.000339364
55,2606.65,0.35777,0.56567,0.91184,0.7017,0.97867,0.85204,0.84448,0.19901,0.52635,0.79775,0.000332296,0.000332296,0.000332296
